상호명,도로명,위도,경도
컴포즈밀양,경상남도 밀양시 시청로,35.5044796412493,128.744391424412
컴포즈커피팔판점,경상남도 김해시 계동로23번길,35.1781704026697,128.794904638226
컴포즈커피양산,경상남도 양산시 교동1길,35.3451459695955,129.025858511263
컴포즈커피,경상남도 거제시 거제중앙로,34.8861903985325,128.624460963019
컴포즈월영,경상남도 창원시 마산합포구 월영마을로,35.1753563401797,128.557894013153
컴포즈커피,경상남도 진주시 에나로,35.1774824121029,128.137532349886
컴포즈커피김해센텀제니스점,경상남도 김해시 주촌면 천곡로,35.2367279120843,128.837378832458
컴포즈커피대원꿈에,경상남도 창원시 성산구 창원천로,35.2354193859428,128.648121248166
컴포즈커피창원무동점,경상남도 창원시 의창구 북면 무동로226번길,35.3179059338971,128.584705268357
컴포즈커피창원라포레점,경상남도 창원시 성산구 창원대로,35.2088325025779,128.684900914691
컴포즈커피마산,경상남도 창원시 마산회원구 내서읍 호원로,35.2653309252964,128.524812301568
컴포즈커피김해,경상남도 김해시 김해대로,35.2293514378907,128.8722704521
컴포즈커피팔용공구스트리트점,경상남도 창원시 의창구 차상로150번길,35.2332851515425,128.640952134605
컴포즈커피마산양덕메트로점,경상남도 창원시 마산회원구 율림교로,35.2289286240365,128.584494684805
컴포즈커피,경상남도 창원시 성산구 마디미로,35.2239900216358,128.685654394086
컴포즈커피창원소계점,경상남도 창원시 의창구 소계로,35.2567655751993,128.598991913028
컴포즈,경상남도 창원시 진해구 석동로,35.1558469927824,128.705343757778
컴포즈양산어곡점,경상남도 양산시 어실로,35.3792710021554,129.025938101668
컴포즈커피양산,경상남도 양산시 동면 금오2길,35.3151103339692,129.025028199363
컴포즈커피양산천성점,경상남도 양산시 소주회야로,35.4072464221071,129.158802975099
컴포즈김해,경상남도 김해시 해반천로144번길,35.2612383316973,128.871644887067
컴포즈커피마산합성롯데,경상남도 창원시 마산회원구 합성북16길,35.2450539115234,128.586577227262
컴포즈커피김해장유능동로점,경상남도 김해시 능동로,35.1968348914038,128.79684343676
컴포즈커피거제수월점,경상남도 거제시 수양로,34.8915949642942,128.639151465258
컴포즈커피창원,경상남도 창원시 의창구 용동로83번안길,35.2395202804222,128.700013486072
컴포즈커피진해웅동로점,경상남도 창원시 진해구 웅동로,35.1244219508596,128.78197317861
컴포즈커피양산덕계점,경상남도 양산시 번영로,35.3743338258692,129.150771846352
컴포즈커피,경상남도 김해시 가락로,35.2271320752025,128.882485053637
컴포즈커피마산,경상남도 창원시 마산회원구 내서읍 삼계4길,35.2333741530869,128.503951820056
컴포즈커피충장로점,경상남도 창원시 진해구 충장로,35.1518753857562,128.666478511884
컴포즈커피더시티세븐점,경상남도 창원시 성산구 창원천로94번길,35.2398188564859,128.6530455785
컴포즈커피마산양덕중앙,경상남도 창원시 마산회원구 양덕로,35.2321791803966,128.583364438338
컴포즈커피양산양주로점,경상남도 양산시 양주로,35.3313686880928,129.027433283778
컴포즈커피창원봉곡,경상남도 창원시 의창구 창이대로309번길,35.2471403404354,128.670806337932
컴포즈양산대학약국점,경상남도 양산시 물금읍 화합2길,35.3283847306412,129.009291346627
컴포즈커피,경상남도 창원시 의창구 북면 감계로110번길,35.3015767094778,128.594923692639
컴포즈커피양산유,경상남도 양산시 물금읍 범어로,35.329606394629,129.014102125368
컴포즈커피양산삼성명가타운점,경상남도 양산시 평산중앙로,35.3852061937611,129.152445134069
컴포즈커피창원팔용사화점,경상남도 창원시 의창구 남산로27번길,35.2590298697425,128.613042660037
컴포즈커피창원대학교점,경상남도 창원시 의창구 퇴촌로,35.2422298356139,128.689664515798
컴포즈창원,경상남도 창원시 성산구 중앙대로,35.2236401963878,128.678950565388
컴포즈커피양산대동이미지점,경상남도 양산시 연호로,35.4148887369064,129.176628213154
컴포즈커피거제,경상남도 거제시 중곡로3길,34.894184794369,128.630013861333
컴포즈커피양산웅상일등점,경상남도 양산시 삼호로,35.4119396594072,129.173095157126
컴포즈커피이마트에브리데이거제,경상남도 거제시 거제중앙로,34.8715179911084,128.634238011238
컴포즈커피양산남부점,경상남도 양산시 장터4길,35.3436365030409,129.03586129108
컴포즈커피양산부산대,경상남도 양산시 물금읍 황산로,35.3290138769769,129.004096644163
컴포즈커피진주,경상남도 진주시 도동천로,35.1791513943621,128.10974648803
컴포즈커피양산금산점,경상남도 양산시 동면 석산1길,35.3111286587325,129.028991703647
컴포즈양산동원타운점,경상남도 양산시 북정로,35.3617372379407,129.050330827676
컴포즈커피거제,경상남도 거제시 옥포로,34.8990462068063,128.687757395627
컴포즈커피,경상남도 창원시 마산회원구 내서읍 삼계로,35.2314684454581,128.498315082619
컴포즈상남메종,경상남도 창원시 성산구 상남로,35.223128391757,128.681802400627
컴포즈양산,경상남도 양산시 대운로,35.4076226441989,129.171194017368
컴포즈커피김해어방인제로점,경상남도 김해시 인제로,35.2372125436817,128.904084214213
컴포즈커피주진점,경상남도 양산시 진등길,35.3940281756866,129.157391986665
컴포즈내삼공단점,경상남도 김해시 주촌면 서부로1499번길,35.2315898387601,128.818946443192
컴포즈커피양산물금양우,경상남도 양산시 물금읍 물금로,35.3180473844947,128.998264353115
컴포즈커피장유젤미점,경상남도 김해시 번화1로,35.1946432364511,128.799764958606
컴포즈커피창원신촌공단점,경상남도 창원시 성산구 월림로65번길,35.2079461778141,128.640983598997
컴포즈커피장유삼문아쿠아점,경상남도 김해시 번화2로,35.1895037047669,128.806785947399
컴포즈커피사천카이점,경상남도 사천시 사남면 공단1로,35.069900087947,128.066607541647
컴포즈커피가음정점,경상남도 창원시 성산구 대정로,35.2072339247205,128.698066902124
컴포즈커피,경상남도 창원시 진해구 용원로7번길,35.1012411483061,128.810226026014
컴포즈커피진영이진점,경상남도 김해시 진영읍 진산대로,35.3120999395683,128.726239209533
컴포즈커피김해삼계,경상남도 김해시 김해대로,35.2593499958459,128.864723127373
컴포즈커피마산해양공원점,경상남도 창원시 마산합포구 해안대로,35.1855179018238,128.563200914297
컴포즈커피창원,경상남도 창원시 성산구 신월로37번길,35.2288935204005,128.69202344249
컴포즈커피창원삼,경상남도 창원시 성산구 삼정자로43번길,35.1987842312187,128.711051837923
컴포즈커피전통,경상남도 의령군 의령읍 의병로,35.3195782213798,128.261227953609
컴포즈커피주촌무지개공원점,경상남도 김해시 주촌면 선천북로42번길,35.2416637823959,128.835319994605
컴포즈커피대방성원,경상남도 창원시 성산구 대암로,35.214857441625,128.706260214214
컴포즈커피창원중앙경남오피스텔점,경상남도 창원시 성산구 중앙대로,35.2192980748145,128.675245588737
컴포즈커피진주혁신사들로점,경상남도 진주시 사들로156번길,35.1817588632784,128.149683071364
컴포즈커피성산반도유,경상남도 창원시 성산구 비음로,35.2178467443957,128.709921896167
컴포즈커피평거들말대경점,경상남도 진주시 석갑로53번길,35.17619146042,128.063916448565
